PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Cabin_deck,Cabin_num,Cabin_side,Sex,TotalServices,MinServices,MeanServices,MaxServices
0028_01,3,0,1,43.0,0,1125.0,0.0,136.0,48.0,0.0,0,6,8,1,1,1309.0,0.0,327.25,1125.0
0030_01,2,0,1,32.0,0,0.0,850.0,81.0,437.0,453.0,0,7,4,2,0,1368.0,0.0,342.0,850.0
0031_01,3,0,1,47.0,0,214.0,0.0,1411.0,0.0,1229.0,1,6,9,1,1,1625.0,0.0,406.25,1411.0
0031_02,3,0,1,2.0,0,0.0,0.0,0.0,0.0,0.0,1,6,9,1,1,0.0,0.0,0.0,0.0
0031_03,3,0,1,20.0,0,224.69,0.0,1750.0,990.0,0.0,1,6,9,1,1,2964.69,0.0,741.1725,1750.0
0034_01,1,1,3,28.0,0,0.0,0.0,0.0,0.0,0.0,1,4,1,2,0,0.0,0.0,0.0,0.0
0035_01,3,0,3,23.0,0,784.0,964.0,0.0,951.0,0.0,0,4,1,1,0,2699.0,0.0,674.75,964.0
0036_01,2,0,3,15.0,0,0.0,492.0,48.0,20.0,401.0,0,6,8,2,0,560.0,0.0,140.0,492.0
0038_01,2,0,3,20.0,0,554.0,195.0,0.0,2606.0,0.0,0,6,10,2,0,3355.0,0.0,838.75,2606.0
0039_01,2,1,3,30.0,0,0.0,0.0,174.73,0.0,0.0,0,7,1,1,0,174.73,0.0,43.6825,174.73
0041_01,2,1,1,17.0,0,0.0,0.0,0.0,0.0,0.0,1,7,2,1,0,0.0,0.0,0.0,0.0
0043_01,1,0,1,45.0,0,0.0,164.0,45.0,2511.0,855.0,0,2,3,1,1,2720.0,0.0,680.0,2511.0
0044_01,2,1,1,55.0,0,0.0,0.0,0.0,0.0,0.0,0,7,3,1,0,0.0,0.0,0.0,0.0
0044_02,2,1,3,4.0,0,0.0,0.0,0.0,0.0,0.0,1,7,3,1,1,0.0,0.0,0.0,0.0
0044_03,2,1,2,21.0,0,0.0,0.0,0.0,0.0,0.0,1,7,3,1,0,0.0,0.0,0.0,0.0
0045_01,3,0,1,21.0,0,970.0,0.0,180.0,0.0,64.0,0,6,10,1,1,1150.0,0.0,287.5,970.0
0045_02,3,1,1,19.0,0,0.0,0.0,0.0,0.0,0.0,1,6,10,1,1,0.0,0.0,0.0,0.0
0050_01,2,0,3,35.0,0,790.0,0.0,0.0,311.14,0.0,0,5,1,2,1,1101.1399999999999,0.0,275.28499999999997,790.0
0051_01,2,0,1,56.0,0,0.0,112.0,0.0,1379.0,127.0,0,5,2,2,0,1491.0,0.0,372.75,1379.0
0052_01,2,0,1,28.82,0,4.0,0.0,2.0,4683.0,0.0,0,7,6,2,0,4689.0,0.0,1172.25,4683.0
0053_01,2,0,1,25.0,0,0.0,0.0,1938.0,0.0,1.0,1,6,11,2,1,1938.0,0.0,484.5,1938.0
0056_01,1,0,1,2.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,2,1,0.0,0.0,0.0,0.0
0056_02,1,1,1,38.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,2,0,0.0,0.0,0.0,0.0
0056_03,1,0,1,27.0,0,279.0,605.0,3374.0,286.0,3.0,1,1,1,2,0,4544.0,279.0,1136.0,3374.0
0058_01,2,1,2,36.0,0,0.0,0.0,0.0,0.0,0.0,0,7,7,2,1,0.0,0.0,0.0,0.0
0061_01,2,0,1,22.0,0,45.0,1096.0,148.0,1377.0,1.0,0,6,12,2,0,2666.0,45.0,666.5,1377.0
0062_01,2,0,1,62.0,0,0.0,592.0,0.0,17.0,25.0,0,6,13,2,0,609.0,0.0,152.25,592.0
0064_01,3,1,1,15.0,0,0.0,0.0,0.0,0.0,0.0,1,6,14,2,-1,0.0,0.0,0.0,0.0
0064_02,2,1,1,33.0,0,0.0,0.0,174.73,0.0,0.0,1,5,3,2,0,174.73,0.0,43.6825,174.73
0066_01,2,0,1,62.0,0,1.0,153.0,197.0,0.0,460.0,0,7,6,1,1,351.0,0.0,87.75,197.0
0067_01,2,1,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1,7,10,2,0,0.0,0.0,0.0,0.0
0067_02,2,0,1,18.0,0,1.0,258.0,446.0,0.0,0.0,1,7,10,2,0,705.0,0.0,176.25,446.0
0067_03,2,0,3,21.0,0,1946.0,37.0,0.0,0.0,24.0,0,6,15,2,0,1983.0,0.0,495.75,1946.0
0068_01,3,0,1,28.82,0,793.0,0.0,2.0,253.0,0.0,0,5,4,2,1,1048.0,0.0,262.0,793.0
0069_01,2,0,1,42.0,0,887.0,0.0,9.0,6.0,0.0,1,6,16,2,-1,902.0,0.0,225.5,887.0
0070_01,2,0,1,19.0,0,190.0,0.0,5.0,1.0,726.0,0,6,13,1,0,196.0,0.0,49.0,190.0
0071_01,2,0,1,17.0,0,16.0,2165.0,0.0,0.0,52.0,0,6,14,1,0,2181.0,0.0,545.25,2165.0
0072_01,2,0,1,14.0,0,0.0,1.0,0.0,0.0,1063.0,0,6,17,2,1,1.0,0.0,0.25,1.0
0073_01,3,0,2,37.0,0,46.0,83.0,738.0,0.0,12.0,0,4,3,1,1,867.0,0.0,216.75,738.0
0074_01,1,0,1,42.0,0,1.0,8397.0,0.0,0.0,506.0,1,3,3,2,1,8398.0,0.0,2099.5,8397.0
0076_01,3,0,1,27.0,0,147.0,0.0,1018.0,0.0,0.0,1,6,18,2,1,1165.0,0.0,291.25,1018.0
0077_01,3,0,1,28.0,0,14.0,0.0,1295.0,0.0,0.0,1,6,15,1,1,1309.0,0.0,327.25,1295.0
0078_01,1,0,1,38.0,0,0.0,5840.0,0.0,321.0,9654.0,0,3,4,2,1,6161.0,0.0,1540.25,5840.0
0081_01,2,1,1,13.0,0,0.0,0.0,0.0,0.0,0.0,0,7,13,2,0,0.0,0.0,0.0,0.0
0082_01,3,0,1,42.0,0,7406.0,0.0,0.0,0.0,0.0,0,6,16,1,0,7406.0,0.0,1851.5,7406.0
0082_02,3,1,1,2.0,0,0.0,0.0,0.0,0.0,0.0,1,6,16,1,1,0.0,0.0,0.0,0.0
0082_03,3,0,1,8.0,0,0.0,0.0,0.0,0.0,0.0,1,6,16,1,-1,0.0,0.0,0.0,0.0
0084_01,2,0,1,24.0,0,688.0,0.0,0.0,0.0,17.0,1,7,14,2,1,688.0,0.0,172.0,688.0
0085_01,1,1,1,40.0,0,0.0,0.0,0.0,0.0,0.0,1,3,5,2,0,0.0,0.0,0.0,0.0
0086_01,2,0,1,43.0,0,211.0,0.0,0.0,638.0,513.0,0,6,17,1,0,849.0,0.0,212.25,638.0
0088_01,3,1,2,45.0,0,0.0,0.0,0.0,0.0,0.0,1,5,5,2,1,0.0,0.0,0.0,0.0
0090_01,2,1,1,35.0,0,0.0,0.0,0.0,0.0,0.0,1,7,15,2,0,0.0,0.0,0.0,0.0
0091_01,2,1,1,26.0,0,224.69,0.0,0.0,0.0,0.0,1,7,16,2,0,224.69,0.0,56.1725,224.69
0091_02,2,0,1,27.0,0,1.0,697.0,31.0,188.0,0.0,0,6,20,2,1,917.0,1.0,229.25,697.0
0092_01,2,0,1,19.0,0,0.0,0.0,670.0,1.0,34.0,0,7,9,1,0,671.0,0.0,167.75,670.0
0092_02,2,1,1,0.0,0,0.0,0.0,174.73,0.0,0.0,1,7,9,1,1,174.73,0.0,43.6825,174.73
0092_03,2,1,1,3.0,0,0.0,0.0,0.0,0.0,0.0,1,7,9,1,0,0.0,0.0,0.0,0.0
0097_01,1,0,1,54.0,0,0.0,1208.0,0.0,3.0,637.0,0,1,2,2,1,1211.0,0.0,302.75,1208.0
0098_01,2,0,1,26.0,0,0.0,856.0,5.0,32.0,0.0,0,7,11,1,0,893.0,0.0,223.25,856.0
0098_02,2,0,1,26.0,0,0.0,2811.0,957.0,0.0,87.0,1,7,11,1,0,3768.0,0.0,942.0,2811.0
0099_01,2,0,2,23.0,0,311.0,427.0,526.0,37.0,0.0,0,6,19,1,1,1301.0,37.0,325.25,526.0
0099_02,2,0,1,2.0,0,0.0,0.0,0.0,0.0,0.0,1,7,12,1,1,0.0,0.0,0.0,0.0
0101_01,3,1,1,31.0,0,0.0,0.0,0.0,0.0,0.0,1,6,427,2,1,0.0,0.0,0.0,0.0
0102_01,2,0,1,18.0,0,0.0,0.0,0.0,830.0,91.0,0,6,23,2,0,830.0,0.0,207.5,830.0
0103_01,2,0,1,24.0,0,0.0,458.08,0.0,0.0,17.0,1,6,24,2,1,458.08,0.0,114.52,458.08
0103_02,2,1,3,9.0,0,0.0,0.0,0.0,0.0,0.0,1,7,18,2,0,0.0,0.0,0.0,0.0
0103_03,2,1,1,6.0,0,0.0,0.0,0.0,0.0,0.0,0,7,18,2,0,0.0,0.0,0.0,0.0
0105_01,2,0,1,27.0,0,0.0,0.0,570.0,2.0,131.0,0,6,21,1,0,572.0,0.0,143.0,570.0
0107_01,3,0,1,21.0,0,1743.0,5.0,17.0,0.0,0.0,0,4,2,2,1,1765.0,0.0,441.25,1743.0
0108_01,2,1,1,23.0,0,0.0,0.0,0.0,0.0,0.0,0,7,19,2,1,0.0,0.0,0.0,0.0
0108_02,2,0,1,31.0,0,562.0,0.0,326.0,0.0,0.0,0,7,19,2,-1,888.0,0.0,222.0,562.0
0108_03,2,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1,7,19,2,0,0.0,0.0,0.0,0.0
0110_01,1,0,1,32.0,0,0.0,410.0,6.0,3929.0,764.0,0,6,427,2,1,4345.0,0.0,1086.25,3929.0
0110_02,1,0,1,40.0,0,0.0,331.0,0.0,0.0,1687.0,0,2,5,1,0,331.0,0.0,82.75,331.0
0110_03,1,0,1,42.0,0,2209.0,11418.0,0.0,1868.0,445.0,1,2,5,1,0,15495.0,0.0,3873.75,11418.0
0110_04,1,1,1,28.0,0,0.0,0.0,0.0,0.0,0.0,1,2,5,1,1,0.0,0.0,0.0,0.0
0111_01,1,1,1,29.0,0,0.0,0.0,0.0,0.0,0.0,1,5,6,2,0,0.0,0.0,0.0,0.0
0112_01,1,0,3,48.0,1,0.0,2537.0,87.0,17.0,13.0,1,2,1,2,1,2641.0,0.0,660.25,2537.0
0113_01,2,0,1,64.0,0,0.0,0.0,804.0,0.0,0.0,1,6,23,1,1,804.0,0.0,201.0,804.0
0114_01,2,0,1,27.0,0,82.0,157.0,429.0,238.0,1.0,0,7,20,2,0,906.0,82.0,226.5,429.0
0115_01,3,0,1,26.0,0,0.0,0.0,0.0,0.0,304.86,1,6,24,1,1,0.0,0.0,0.0,0.0
0116_01,1,0,1,33.0,0,1.0,2223.0,0.0,12.0,404.0,1,4,4,1,0,2236.0,0.0,559.0,2223.0
0119_01,2,0,1,39.0,0,0.0,2344.0,0.0,65.0,6898.0,0,1,0,1,1,2409.0,0.0,602.25,2344.0
0119_02,1,1,1,13.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0.0,0.0,0.0,0.0
0120_01,3,1,1,24.0,0,0.0,0.0,0.0,0.0,304.86,1,6,25,1,1,0.0,0.0,0.0,0.0
0122_01,2,0,1,29.0,0,0.0,0.0,0.0,699.0,74.0,0,7,21,2,0,699.0,0.0,174.75,699.0
0123_01,2,0,1,18.0,0,55.0,597.0,49.0,0.0,1.0,0,6,27,1,0,701.0,0.0,175.25,597.0
0126_01,3,1,1,67.0,0,0.0,0.0,0.0,0.0,0.0,1,6,27,2,0,0.0,0.0,0.0,0.0
0127_01,3,0,1,35.0,0,701.0,0.0,296.0,0.0,25.0,0,5,7,2,1,997.0,0.0,249.25,701.0
0128_01,3,0,1,61.0,1,2353.0,334.0,9.0,316.0,2.0,0,4,3,2,1,3012.0,9.0,753.0,2353.0
0128_02,3,0,1,45.0,0,2103.0,6.0,0.0,0.0,0.0,0,5,8,2,0,2109.0,0.0,527.25,2103.0
0129_01,2,1,2,22.0,0,0.0,0.0,174.73,0.0,0.0,1,7,22,2,1,174.73,0.0,43.6825,174.73
0133_01,3,1,1,19.0,0,0.0,0.0,0.0,0.0,0.0,1,6,29,2,1,0.0,0.0,0.0,0.0
0133_02,3,0,1,36.0,0,2738.0,0.0,0.0,0.0,0.0,0,4,5,2,1,2738.0,0.0,684.5,2738.0
0134_01,2,0,1,19.0,0,0.0,14.0,730.0,0.0,0.0,1,7,17,1,0,744.0,0.0,186.0,730.0
0136_01,2,0,2,47.0,0,97.0,418.0,126.0,25.0,55.0,0,7,23,2,-1,666.0,25.0,166.5,418.0
0138_01,2,1,1,13.0,0,0.0,0.0,0.0,0.0,0.0,1,7,18,1,0,0.0,0.0,0.0,0.0
0138_02,2,0,1,34.0,0,0.0,22.0,0.0,564.0,207.0,0,5,5,1,0,586.0,0.0,146.5,564.0
0139_01,1,1,3,35.0,0,0.0,0.0,0.0,0.0,0.0,1,3,6,2,0,0.0,0.0,0.0,0.0
0140_01,2,1,1,24.0,0,0.0,0.0,0.0,0.0,0.0,1,7,19,1,0,0.0,0.0,0.0,0.0
0140_02,2,0,1,26.0,0,440.0,0.0,0.0,0.0,462.0,0,6,29,1,1,440.0,0.0,110.0,440.0
0141_01,3,0,1,31.0,0,224.69,0.0,97.0,0.0,0.0,0,6,30,1,1,321.69,0.0,80.4225,224.69
0144_01,2,0,1,20.0,0,0.0,420.0,210.0,0.0,0.0,1,6,31,2,1,630.0,0.0,157.5,420.0
0146_01,2,0,1,56.0,0,0.0,0.0,0.0,0.0,0.0,0,7,25,2,0,0.0,0.0,0.0,0.0
0147_01,2,1,1,50.0,0,0.0,0.0,0.0,0.0,0.0,1,7,26,2,1,0.0,0.0,0.0,0.0
0148_01,3,0,1,42.0,0,1072.0,0.0,10.0,0.0,76.0,0,6,31,1,0,1082.0,0.0,270.5,1072.0
0149_01,2,1,3,28.82,0,0.0,0.0,0.0,0.0,0.0,1,7,27,2,1,0.0,0.0,0.0,0.0
0151_01,2,1,3,38.0,0,0.0,0.0,0.0,0.0,0.0,0,7,20,1,0,0.0,0.0,0.0,0.0
0152_01,2,0,1,41.0,0,0.0,0.0,0.0,0.0,607.0,0,6,32,1,1,0.0,0.0,0.0,0.0
0160_01,2,0,1,22.0,0,4119.0,0.0,0.0,0.0,61.0,0,7,22,1,1,4119.0,0.0,1029.75,4119.0
0163_01,1,1,1,26.0,0,0.0,0.0,0.0,0.0,0.0,1,2,8,1,1,0.0,0.0,0.0,0.0
0163_02,1,1,1,17.0,0,0.0,0.0,0.0,0.0,0.0,1,2,8,1,1,0.0,0.0,0.0,0.0
0164_01,2,0,1,57.0,0,50.0,1688.0,0.0,311.14,135.0,1,7,28,2,0,2049.14,0.0,512.285,1688.0
0164_02,2,1,2,17.0,0,0.0,0.0,0.0,0.0,0.0,0,7,28,2,0,0.0,0.0,0.0,0.0
0165_01,3,1,1,35.0,0,0.0,0.0,0.0,0.0,0.0,1,6,37,1,1,0.0,0.0,0.0,0.0
0167_01,3,1,1,13.0,0,0.0,0.0,0.0,0.0,0.0,1,6,35,2,1,0.0,0.0,0.0,0.0
0167_02,3,0,1,27.0,0,1365.0,0.0,48.0,22.0,137.0,0,6,35,2,1,1435.0,0.0,358.75,1365.0
0169_01,2,1,1,31.0,0,0.0,0.0,0.0,0.0,0.0,0,7,23,1,0,0.0,0.0,0.0,0.0
0170_01,2,0,1,24.0,0,0.0,0.0,0.0,221.0,567.0,0,5,10,2,0,221.0,0.0,55.25,221.0
0171_01,2,1,2,19.0,0,0.0,0.0,0.0,0.0,0.0,1,7,30,2,0,0.0,0.0,0.0,0.0
0172_01,2,1,1,32.0,0,0.0,0.0,0.0,0.0,0.0,1,7,24,1,0,0.0,0.0,0.0,0.0
0173_01,2,0,1,58.0,0,0.0,985.0,0.0,5.0,0.0,1,5,11,2,1,990.0,0.0,247.5,985.0
0174_01,2,0,3,21.0,0,287.0,0.0,16.0,115.0,175.0,0,6,38,1,1,418.0,0.0,104.5,287.0
0177_01,1,0,1,38.0,0,0.0,10346.0,1.0,14970.0,2111.0,0,2,2,2,1,25317.0,0.0,6329.25,14970.0
0178_01,3,0,1,38.0,0,3414.0,0.0,161.0,28.0,119.0,0,4,6,2,1,3603.0,0.0,900.75,3414.0
0179_01,2,0,1,19.0,0,1.0,219.0,673.0,2.0,11.0,1,7,26,1,0,895.0,1.0,223.75,673.0
0179_02,2,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,7,26,1,0,0.0,0.0,0.0,0.0
0179_03,2,0,1,3.0,0,0.0,0.0,0.0,0.0,0.0,1,7,26,1,0,0.0,0.0,0.0,0.0
0181_01,2,0,1,20.0,0,0.0,0.0,3.0,299.0,92.0,0,7,27,1,0,302.0,0.0,75.5,299.0
0182_01,1,1,1,24.0,0,0.0,0.0,0.0,0.0,0.0,1,3,3,1,1,0.0,0.0,0.0,0.0
0183_01,2,0,1,37.0,0,17.0,146.0,426.0,0.0,232.0,1,6,36,2,1,589.0,0.0,147.25,426.0
0186_01,2,0,1,25.0,0,62.0,0.0,0.0,0.0,956.0,0,7,28,1,1,62.0,0.0,15.5,62.0
0188_01,2,1,1,56.0,0,0.0,0.0,0.0,0.0,0.0,1,7,31,2,0,0.0,0.0,0.0,0.0
0189_01,2,0,3,49.0,0,84.0,3.0,401.0,202.0,98.0,0,5,8,1,0,690.0,3.0,172.5,401.0
0190_01,2,1,3,11.0,0,0.0,0.0,0.0,0.0,0.0,0,7,32,2,-1,0.0,0.0,0.0,0.0
0192_01,2,1,1,1.0,0,0.0,0.0,0.0,0.0,0.0,1,7,29,1,1,0.0,0.0,0.0,0.0
0192_02,2,0,1,8.0,0,0.0,0.0,0.0,0.0,0.0,0,7,29,1,0,0.0,0.0,0.0,0.0
0192_03,2,0,1,39.0,0,0.0,0.0,10.0,898.0,0.0,0,7,29,1,0,908.0,0.0,227.0,898.0
0193_01,3,1,1,2.0,0,0.0,0.0,0.0,0.0,0.0,1,6,41,1,1,0.0,0.0,0.0,0.0
0193_02,3,0,1,23.0,0,224.69,0.0,8.0,1072.0,0.0,0,6,41,1,1,1304.69,0.0,326.1725,1072.0
0193_03,3,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1,6,41,1,1,0.0,0.0,0.0,0.0
0195_01,3,0,1,39.0,0,406.0,0.0,867.0,0.0,0.0,1,6,42,1,1,1273.0,0.0,318.25,867.0
0196_01,3,0,2,25.0,0,1052.0,0.0,719.0,0.0,7.0,0,4,5,1,1,1771.0,0.0,442.75,1052.0
0197_01,1,0,1,36.0,0,0.0,972.0,0.0,795.0,575.0,0,3,5,1,1,1767.0,0.0,441.75,972.0
0198_01,2,0,2,52.0,0,0.0,0.0,0.0,0.0,0.0,1,7,30,1,1,0.0,0.0,0.0,0.0
0199_01,2,1,1,18.0,0,0.0,0.0,0.0,0.0,0.0,0,7,33,2,0,0.0,0.0,0.0,0.0
0200_01,2,1,1,15.0,0,0.0,0.0,0.0,0.0,0.0,1,7,31,1,0,0.0,0.0,0.0,0.0
0201_01,1,1,1,35.0,0,0.0,0.0,0.0,0.0,0.0,1,2,3,2,1,0.0,0.0,0.0,0.0
0201_02,1,1,1,47.0,0,0.0,0.0,0.0,0.0,0.0,1,2,3,2,0,0.0,0.0,0.0,0.0
0202_01,1,1,3,45.0,0,0.0,0.0,0.0,0.0,0.0,1,2,9,1,0,0.0,0.0,0.0,0.0
0202_02,1,0,3,28.82,0,0.0,2433.0,174.73,878.0,443.0,1,1,2,1,1,3485.73,0.0,871.4325,2433.0
0203_01,1,1,1,51.0,0,0.0,0.0,0.0,0.0,0.0,1,3,8,2,1,0.0,0.0,0.0,0.0
0205_01,2,0,1,29.0,0,0.0,2.0,66.0,0.0,705.0,0,7,34,2,0,68.0,0.0,17.0,66.0
0206_01,1,0,3,28.82,0,2.0,1720.0,12.0,1125.0,122.0,1,3,9,2,1,2859.0,2.0,714.75,1720.0
0207_01,2,1,2,19.0,0,0.0,0.0,0.0,0.0,0.0,0,7,32,1,1,0.0,0.0,0.0,0.0
0210_01,2,1,3,24.0,0,0.0,0.0,174.73,0.0,0.0,1,4,6,1,1,174.73,0.0,43.6825,174.73
0211_01,3,0,1,29.0,0,902.0,1.0,137.0,0.0,0.0,1,6,44,1,1,1040.0,0.0,260.0,902.0
0211_02,3,1,1,11.0,0,0.0,0.0,0.0,0.0,0.0,1,6,44,1,0,0.0,0.0,0.0,0.0
0211_03,3,0,1,17.0,0,848.0,0.0,307.0,182.0,0.0,0,6,44,1,1,1337.0,0.0,334.25,848.0
0212_01,2,0,1,13.0,0,192.0,0.0,0.0,51.0,739.0,0,5,9,1,1,243.0,0.0,60.75,192.0
0212_02,2,0,1,35.0,0,147.0,188.0,0.0,10.0,387.0,0,6,45,1,0,345.0,0.0,86.25,188.0
0213_01,2,0,1,21.0,0,367.0,281.0,0.0,0.0,146.0,0,6,46,1,0,648.0,0.0,162.0,367.0
0216_01,2,0,3,21.0,0,0.0,56.0,0.0,0.0,1918.0,0,6,40,2,0,56.0,0.0,14.0,56.0
0217_01,2,0,1,38.0,0,1517.0,0.0,0.0,27.0,0.0,0,6,47,1,0,1544.0,0.0,386.0,1517.0
0219_01,2,1,1,19.0,0,0.0,0.0,0.0,0.0,0.0,1,7,36,1,0,0.0,0.0,0.0,0.0
0220_01,2,1,1,2.0,0,0.0,0.0,0.0,0.0,0.0,1,7,37,1,1,0.0,0.0,0.0,0.0
0220_02,2,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1,7,37,1,0,0.0,0.0,0.0,0.0
0220_03,2,1,1,13.0,0,0.0,0.0,0.0,0.0,0.0,0,7,37,1,0,0.0,0.0,0.0,0.0
0220_04,2,0,1,25.0,0,122.0,84.0,174.73,0.0,0.0,0,5,10,1,1,380.73,0.0,95.1825,174.73
0220_05,2,0,1,16.0,0,0.0,3.0,0.0,0.0,1099.0,0,6,48,1,0,3.0,0.0,0.75,3.0
0220_06,2,0,3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,7,37,1,1,0.0,0.0,0.0,0.0
0220_07,2,1,1,15.0,0,0.0,0.0,0.0,0.0,0.0,1,7,37,1,1,0.0,0.0,0.0,0.0
0221_01,3,0,3,21.0,0,2237.0,0.0,119.0,0.0,0.0,0,5,13,2,1,2356.0,0.0,589.0,2237.0
0221_02,3,0,1,23.0,0,1215.0,80.0,1.0,2.0,0.0,0,5,13,2,1,1298.0,1.0,324.5,1215.0
0221_03,3,0,1,33.0,0,1933.0,12.0,188.0,1.0,0.0,0,5,13,2,1,2134.0,1.0,533.5,1933.0
0221_04,3,1,1,21.0,0,0.0,0.0,0.0,0.0,0.0,1,5,13,2,0,0.0,0.0,0.0,0.0
0221_05,3,0,1,41.0,0,1230.0,0.0,301.0,43.0,1023.0,0,5,13,2,1,1574.0,0.0,393.5,1230.0
0221_06,3,0,1,16.0,0,915.0,0.0,221.0,234.0,0.0,0,5,13,2,1,1370.0,0.0,342.5,915.0
0221_07,3,1,1,42.0,0,0.0,0.0,0.0,0.0,0.0,0,5,13,2,1,0.0,0.0,0.0,0.0
0222_01,3,0,1,20.0,0,1406.0,0.0,0.0,11.0,0.0,0,6,41,2,1,1417.0,0.0,354.25,1406.0
0222_02,3,1,1,24.0,0,0.0,0.0,0.0,0.0,0.0,1,6,41,2,0,0.0,0.0,0.0,0.0
0222_03,3,1,1,16.0,0,0.0,0.0,0.0,0.0,0.0,1,5,14,2,0,0.0,0.0,0.0,0.0
0223_01,2,0,1,21.0,0,0.0,2.0,665.0,0.0,9.0,0,7,35,2,1,667.0,0.0,166.75,665.0
