HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Cabin_deck,Cabin_num,Cabin_side,Transported
3,0,1,20.0,0,224.69,0.0,1750.0,990.0,0.0,6,9,1,1
1,1,3,28.0,0,0.0,0.0,0.0,0.0,0.0,4,1,2,1
3,0,3,23.0,0,784.0,964.0,0.0,951.0,0.0,4,1,1,0
2,0,3,15.0,0,0.0,492.0,48.0,20.0,401.0,6,8,2,0
2,0,3,20.0,0,554.0,195.0,0.0,2606.0,0.0,6,10,2,0
2,1,3,30.0,0,0.0,0.0,174.73,0.0,0.0,7,1,1,0
2,1,1,17.0,0,0.0,0.0,0.0,0.0,0.0,7,2,1,1
1,0,1,45.0,0,0.0,164.0,45.0,2511.0,855.0,2,3,1,0
2,1,1,55.0,0,0.0,0.0,0.0,0.0,0.0,7,3,1,0
2,1,3,4.0,0,0.0,0.0,0.0,0.0,0.0,7,3,1,1
2,1,2,21.0,0,0.0,0.0,0.0,0.0,0.0,7,3,1,1
3,0,1,21.0,0,970.0,0.0,180.0,0.0,64.0,6,10,1,0
3,1,1,19.0,0,0.0,0.0,0.0,0.0,0.0,6,10,1,1
2,0,3,35.0,0,790.0,0.0,0.0,311.14,0.0,5,1,2,0
2,0,1,56.0,0,0.0,112.0,0.0,1379.0,127.0,5,2,2,0
2,0,1,28.82,0,4.0,0.0,2.0,4683.0,0.0,7,6,2,0
2,0,1,25.0,0,0.0,0.0,1938.0,0.0,1.0,6,11,2,1
1,0,1,2.0,0,0.0,0.0,0.0,0.0,0.0,1,1,2,1
1,1,1,38.0,0,0.0,0.0,0.0,0.0,0.0,1,1,2,1
1,0,1,27.0,0,279.0,605.0,3374.0,286.0,3.0,1,1,2,1
2,1,2,36.0,0,0.0,0.0,0.0,0.0,0.0,7,7,2,0
2,0,1,22.0,0,45.0,1096.0,148.0,1377.0,1.0,6,12,2,0
2,0,1,62.0,0,0.0,592.0,0.0,17.0,25.0,6,13,2,0
3,1,1,15.0,0,0.0,0.0,0.0,0.0,0.0,6,14,2,1
2,1,1,33.0,0,0.0,0.0,174.73,0.0,0.0,5,3,2,1
2,0,1,62.0,0,1.0,153.0,197.0,0.0,460.0,7,6,1,0
2,1,2,0.0,0,0.0,0.0,0.0,0.0,0.0,7,10,2,1
2,0,1,18.0,0,1.0,258.0,446.0,0.0,0.0,7,10,2,1
2,0,3,21.0,0,1946.0,37.0,0.0,0.0,24.0,6,15,2,0
3,0,1,28.82,0,793.0,0.0,2.0,253.0,0.0,5,4,2,0
2,0,1,42.0,0,887.0,0.0,9.0,6.0,0.0,6,16,2,1
2,0,1,19.0,0,190.0,0.0,5.0,1.0,726.0,6,13,1,0
2,0,1,17.0,0,16.0,2165.0,0.0,0.0,52.0,6,14,1,0
2,0,1,14.0,0,0.0,1.0,0.0,0.0,1063.0,6,17,2,0
3,0,2,37.0,0,46.0,83.0,738.0,0.0,12.0,4,3,1,0
1,0,1,42.0,0,1.0,8397.0,0.0,0.0,506.0,3,3,2,1
3,0,1,27.0,0,147.0,0.0,1018.0,0.0,0.0,6,18,2,1
3,0,1,28.0,0,14.0,0.0,1295.0,0.0,0.0,6,15,1,1
1,0,1,38.0,0,0.0,5840.0,0.0,321.0,9654.0,3,4,2,0
2,1,1,13.0,0,0.0,0.0,0.0,0.0,0.0,7,13,2,0
3,0,1,42.0,0,7406.0,0.0,0.0,0.0,0.0,6,16,1,0
3,1,1,2.0,0,0.0,0.0,0.0,0.0,0.0,6,16,1,1
3,0,1,8.0,0,0.0,0.0,0.0,0.0,0.0,6,16,1,1
2,0,1,24.0,0,688.0,0.0,0.0,0.0,17.0,7,14,2,1
1,1,1,40.0,0,0.0,0.0,0.0,0.0,0.0,3,5,2,1
2,0,1,43.0,0,211.0,0.0,0.0,638.0,513.0,6,17,1,0
3,1,2,45.0,0,0.0,0.0,0.0,0.0,0.0,5,5,2,1
2,1,1,35.0,0,0.0,0.0,0.0,0.0,0.0,7,15,2,1
2,1,1,26.0,0,224.69,0.0,0.0,0.0,0.0,7,16,2,1
2,0,1,27.0,0,1.0,697.0,31.0,188.0,0.0,6,20,2,0
2,0,1,19.0,0,0.0,0.0,670.0,1.0,34.0,7,9,1,0
2,1,1,0.0,0,0.0,0.0,174.73,0.0,0.0,7,9,1,1
2,1,1,3.0,0,0.0,0.0,0.0,0.0,0.0,7,9,1,1
1,0,1,54.0,0,0.0,1208.0,0.0,3.0,637.0,1,2,2,0
2,0,1,26.0,0,0.0,856.0,5.0,32.0,0.0,7,11,1,0
2,0,1,26.0,0,0.0,2811.0,957.0,0.0,87.0,7,11,1,1
2,0,2,23.0,0,311.0,427.0,526.0,37.0,0.0,6,19,1,0
2,0,1,2.0,0,0.0,0.0,0.0,0.0,0.0,7,12,1,1
3,1,1,31.0,0,0.0,0.0,0.0,0.0,0.0,6,427,2,1
2,0,1,18.0,0,0.0,0.0,0.0,830.0,91.0,6,23,2,0
2,0,1,24.0,0,0.0,458.08,0.0,0.0,17.0,6,24,2,1
2,1,3,9.0,0,0.0,0.0,0.0,0.0,0.0,7,18,2,1
2,1,1,6.0,0,0.0,0.0,0.0,0.0,0.0,7,18,2,0
2,0,1,27.0,0,0.0,0.0,570.0,2.0,131.0,6,21,1,0
3,0,1,21.0,0,1743.0,5.0,17.0,0.0,0.0,4,2,2,0
2,1,1,23.0,0,0.0,0.0,0.0,0.0,0.0,7,19,2,0
2,0,1,31.0,0,562.0,0.0,326.0,0.0,0.0,7,19,2,0
2,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,7,19,2,1
1,0,1,32.0,0,0.0,410.0,6.0,3929.0,764.0,6,427,2,0
1,0,1,40.0,0,0.0,331.0,0.0,0.0,1687.0,2,5,1,0
1,0,1,42.0,0,2209.0,11418.0,0.0,1868.0,445.0,2,5,1,1
1,1,1,28.0,0,0.0,0.0,0.0,0.0,0.0,2,5,1,1
1,1,1,29.0,0,0.0,0.0,0.0,0.0,0.0,5,6,2,1
1,0,3,48.0,1,0.0,2537.0,87.0,17.0,13.0,2,1,2,1
2,0,1,64.0,0,0.0,0.0,804.0,0.0,0.0,6,23,1,1
2,0,1,27.0,0,82.0,157.0,429.0,238.0,1.0,7,20,2,0
3,0,1,26.0,0,0.0,0.0,0.0,0.0,304.86,6,24,1,1
1,0,1,33.0,0,1.0,2223.0,0.0,12.0,404.0,4,4,1,1
2,0,1,39.0,0,0.0,2344.0,0.0,65.0,6898.0,1,0,1,0
1,1,1,13.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1,1
3,1,1,24.0,0,0.0,0.0,0.0,0.0,304.86,6,25,1,1
2,0,1,29.0,0,0.0,0.0,0.0,699.0,74.0,7,21,2,0
2,0,1,18.0,0,55.0,597.0,49.0,0.0,1.0,6,27,1,0
3,1,1,67.0,0,0.0,0.0,0.0,0.0,0.0,6,27,2,1
3,0,1,35.0,0,701.0,0.0,296.0,0.0,25.0,5,7,2,0
3,0,1,61.0,1,2353.0,334.0,9.0,316.0,2.0,4,3,2,0
3,0,1,45.0,0,2103.0,6.0,0.0,0.0,0.0,5,8,2,0
2,1,2,22.0,0,0.0,0.0,174.73,0.0,0.0,7,22,2,1
3,1,1,19.0,0,0.0,0.0,0.0,0.0,0.0,6,29,2,1
3,0,1,36.0,0,2738.0,0.0,0.0,0.0,0.0,4,5,2,0
2,0,1,19.0,0,0.0,14.0,730.0,0.0,0.0,7,17,1,1
2,0,2,47.0,0,97.0,418.0,126.0,25.0,55.0,7,23,2,0
2,1,1,13.0,0,0.0,0.0,0.0,0.0,0.0,7,18,1,1
2,0,1,34.0,0,0.0,22.0,0.0,564.0,207.0,5,5,1,0
1,1,3,35.0,0,0.0,0.0,0.0,0.0,0.0,3,6,2,1
2,1,1,24.0,0,0.0,0.0,0.0,0.0,0.0,7,19,1,1
2,0,1,26.0,0,440.0,0.0,0.0,0.0,462.0,6,29,1,0
3,0,1,31.0,0,224.69,0.0,97.0,0.0,0.0,6,30,1,0
2,0,1,20.0,0,0.0,420.0,210.0,0.0,0.0,6,31,2,1
2,0,1,56.0,0,0.0,0.0,0.0,0.0,0.0,7,25,2,0
2,1,1,50.0,0,0.0,0.0,0.0,0.0,0.0,7,26,2,1
3,0,1,42.0,0,1072.0,0.0,10.0,0.0,76.0,6,31,1,0
2,1,3,28.82,0,0.0,0.0,0.0,0.0,0.0,7,27,2,1
2,1,3,38.0,0,0.0,0.0,0.0,0.0,0.0,7,20,1,0
2,0,1,41.0,0,0.0,0.0,0.0,0.0,607.0,6,32,1,0
2,0,1,22.0,0,4119.0,0.0,0.0,0.0,61.0,7,22,1,0
1,1,1,26.0,0,0.0,0.0,0.0,0.0,0.0,2,8,1,1
1,1,1,17.0,0,0.0,0.0,0.0,0.0,0.0,2,8,1,1
2,0,1,57.0,0,50.0,1688.0,0.0,311.14,135.0,7,28,2,1
2,1,2,17.0,0,0.0,0.0,0.0,0.0,0.0,7,28,2,0
3,1,1,35.0,0,0.0,0.0,0.0,0.0,0.0,6,37,1,1
3,1,1,13.0,0,0.0,0.0,0.0,0.0,0.0,6,35,2,1
3,0,1,27.0,0,1365.0,0.0,48.0,22.0,137.0,6,35,2,0
2,1,1,31.0,0,0.0,0.0,0.0,0.0,0.0,7,23,1,0
2,0,1,24.0,0,0.0,0.0,0.0,221.0,567.0,5,10,2,0
2,1,2,19.0,0,0.0,0.0,0.0,0.0,0.0,7,30,2,1
2,1,1,32.0,0,0.0,0.0,0.0,0.0,0.0,7,24,1,1
2,0,1,58.0,0,0.0,985.0,0.0,5.0,0.0,5,11,2,1
2,0,3,21.0,0,287.0,0.0,16.0,115.0,175.0,6,38,1,0
1,0,1,38.0,0,0.0,10346.0,1.0,14970.0,2111.0,2,2,2,0
3,0,1,38.0,0,3414.0,0.0,161.0,28.0,119.0,4,6,2,0
2,0,1,19.0,0,1.0,219.0,673.0,2.0,11.0,7,26,1,1
2,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,7,26,1,0
2,0,1,3.0,0,0.0,0.0,0.0,0.0,0.0,7,26,1,1
2,0,1,20.0,0,0.0,0.0,3.0,299.0,92.0,7,27,1,0
1,1,1,24.0,0,0.0,0.0,0.0,0.0,0.0,3,3,1,1
2,0,1,37.0,0,17.0,146.0,426.0,0.0,232.0,6,36,2,1
2,0,1,25.0,0,62.0,0.0,0.0,0.0,956.0,7,28,1,0
2,1,1,56.0,0,0.0,0.0,0.0,0.0,0.0,7,31,2,1
2,0,3,49.0,0,84.0,3.0,401.0,202.0,98.0,5,8,1,0
2,1,3,11.0,0,0.0,0.0,0.0,0.0,0.0,7,32,2,0
2,1,1,1.0,0,0.0,0.0,0.0,0.0,0.0,7,29,1,1
2,0,1,8.0,0,0.0,0.0,0.0,0.0,0.0,7,29,1,0
2,0,1,39.0,0,0.0,0.0,10.0,898.0,0.0,7,29,1,0
3,1,1,2.0,0,0.0,0.0,0.0,0.0,0.0,6,41,1,1
3,0,1,23.0,0,224.69,0.0,8.0,1072.0,0.0,6,41,1,0
3,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,6,41,1,1
3,0,1,39.0,0,406.0,0.0,867.0,0.0,0.0,6,42,1,1
3,0,2,25.0,0,1052.0,0.0,719.0,0.0,7.0,4,5,1,0
1,0,1,36.0,0,0.0,972.0,0.0,795.0,575.0,3,5,1,0
2,0,2,52.0,0,0.0,0.0,0.0,0.0,0.0,7,30,1,1
2,1,1,18.0,0,0.0,0.0,0.0,0.0,0.0,7,33,2,0
2,1,1,15.0,0,0.0,0.0,0.0,0.0,0.0,7,31,1,1
1,1,1,35.0,0,0.0,0.0,0.0,0.0,0.0,2,3,2,1
1,1,1,47.0,0,0.0,0.0,0.0,0.0,0.0,2,3,2,1
1,1,3,45.0,0,0.0,0.0,0.0,0.0,0.0,2,9,1,1
1,0,3,28.82,0,0.0,2433.0,174.73,878.0,443.0,1,2,1,1
1,1,1,51.0,0,0.0,0.0,0.0,0.0,0.0,3,8,2,1
2,0,1,29.0,0,0.0,2.0,66.0,0.0,705.0,7,34,2,0
1,0,3,28.82,0,2.0,1720.0,12.0,1125.0,122.0,3,9,2,1
2,1,2,19.0,0,0.0,0.0,0.0,0.0,0.0,7,32,1,0
2,1,3,24.0,0,0.0,0.0,174.73,0.0,0.0,4,6,1,1
3,0,1,29.0,0,902.0,1.0,137.0,0.0,0.0,6,44,1,1
3,1,1,11.0,0,0.0,0.0,0.0,0.0,0.0,6,44,1,1
3,0,1,17.0,0,848.0,0.0,307.0,182.0,0.0,6,44,1,0
2,0,1,13.0,0,192.0,0.0,0.0,51.0,739.0,5,9,1,0
2,0,1,35.0,0,147.0,188.0,0.0,10.0,387.0,6,45,1,0
2,0,1,21.0,0,367.0,281.0,0.0,0.0,146.0,6,46,1,0
2,0,3,21.0,0,0.0,56.0,0.0,0.0,1918.0,6,40,2,0
2,0,1,38.0,0,1517.0,0.0,0.0,27.0,0.0,6,47,1,0
2,1,1,19.0,0,0.0,0.0,0.0,0.0,0.0,7,36,1,1
2,1,1,2.0,0,0.0,0.0,0.0,0.0,0.0,7,37,1,1
2,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,7,37,1,1
2,1,1,13.0,0,0.0,0.0,0.0,0.0,0.0,7,37,1,0
2,0,1,25.0,0,122.0,84.0,174.73,0.0,0.0,5,10,1,0
2,0,1,16.0,0,0.0,3.0,0.0,0.0,1099.0,6,48,1,0
2,0,3,1.0,0,0.0,0.0,0.0,0.0,0.0,7,37,1,0
2,1,1,15.0,0,0.0,0.0,0.0,0.0,0.0,7,37,1,1
3,0,3,21.0,0,2237.0,0.0,119.0,0.0,0.0,5,13,2,0
3,0,1,23.0,0,1215.0,80.0,1.0,2.0,0.0,5,13,2,0
3,0,1,33.0,0,1933.0,12.0,188.0,1.0,0.0,5,13,2,0
3,1,1,21.0,0,0.0,0.0,0.0,0.0,0.0,5,13,2,1
3,0,1,41.0,0,1230.0,0.0,301.0,43.0,1023.0,5,13,2,0
3,0,1,16.0,0,915.0,0.0,221.0,234.0,0.0,5,13,2,0
3,1,1,42.0,0,0.0,0.0,0.0,0.0,0.0,5,13,2,0
3,0,1,20.0,0,1406.0,0.0,0.0,11.0,0.0,6,41,2,0
3,1,1,24.0,0,0.0,0.0,0.0,0.0,0.0,6,41,2,1
3,1,1,16.0,0,0.0,0.0,0.0,0.0,0.0,5,14,2,1
2,0,1,21.0,0,0.0,2.0,665.0,0.0,9.0,7,35,2,0
3,0,1,32.0,1,181.0,0.0,5.0,1634.0,0.0,6,42,2,0
2,1,2,58.0,0,0.0,0.0,0.0,0.0,0.0,7,38,1,1
2,0,1,24.0,0,4.0,7.0,0.0,713.0,79.0,6,43,2,0
3,0,1,30.0,0,85.0,0.0,1.0,1720.0,0.0,6,44,2,0
2,1,2,27.0,0,0.0,458.08,0.0,0.0,0.0,7,36,2,0
3,0,1,32.0,0,56.0,0.0,256.0,1438.0,0.0,6,45,2,0
2,0,1,43.0,0,224.69,888.0,0.0,0.0,0.0,6,50,1,0
1,1,1,42.0,0,0.0,0.0,0.0,0.0,0.0,2,11,1,1
3,0,1,37.0,0,637.0,0.0,0.0,92.0,319.0,6,427,2,0
3,1,1,35.0,0,0.0,0.0,0.0,0.0,0.0,6,52,1,1
1,0,3,33.0,0,0.0,1249.0,0.0,4812.0,1116.0,5,11,1,0
2,0,1,18.0,0,313.0,1.0,691.0,283.0,0.0,6,46,2,0
2,1,1,21.0,0,0.0,0.0,0.0,0.0,0.0,7,37,2,0
3,1,1,43.0,0,0.0,0.0,0.0,0.0,0.0,6,427,2,1
3,1,3,14.0,0,0.0,0.0,0.0,0.0,0.0,6,47,2,1
1,0,3,46.0,0,0.0,3571.0,0.0,0.0,7.0,3,6,1,1
1,0,1,33.0,0,0.0,86.0,796.0,584.0,10912.0,3,6,1,0
3,0,1,21.0,0,2947.0,0.0,287.0,27.0,0.0,4,8,1,0
1,0,1,33.0,0,0.0,1.0,0.0,8620.0,1063.0,3,10,2,0
2,1,2,47.0,0,224.69,0.0,0.0,0.0,0.0,7,38,2,0
2,1,3,54.0,0,0.0,0.0,0.0,0.0,0.0,3,11,2,1
2,0,1,30.0,0,335.0,695.0,541.0,0.0,0.0,6,53,1,0
2,0,1,29.0,0,272.0,615.0,0.0,0.0,1.0,7,42,1,0
2,0,1,21.0,0,702.0,172.0,408.0,2.0,6.0,6,54,1,1
1,1,1,24.0,0,0.0,0.0,0.0,0.0,0.0,1,3,2,1
3,0,3,21.0,0,1664.0,0.0,174.73,0.0,0.0,6,49,2,0
3,1,1,60.0,0,0.0,0.0,0.0,0.0,0.0,6,49,2,1
2,0,1,22.0,0,0.0,0.0,313.0,299.0,92.0,6,50,2,0
1,0,1,26.0,0,0.0,4810.0,0.0,981.0,2054.0,5,16,2,0
2,0,1,26.0,0,66.0,29.0,0.0,0.0,803.0,6,56,1,0
2,1,1,28.0,0,0.0,0.0,0.0,0.0,0.0,7,43,1,1
1,1,1,39.0,0,0.0,0.0,0.0,311.14,0.0,4,8,2,1
2,0,1,13.0,0,118.0,0.0,0.0,754.0,1.0,6,51,2,0
2,0,3,47.0,0,0.0,231.0,592.0,0.0,0.0,6,52,2,1
2,0,1,63.0,0,0.0,25.0,128.0,0.0,1240.0,6,59,1,0
1,1,3,28.82,0,0.0,0.0,0.0,0.0,0.0,4,9,2,1
2,0,3,50.0,0,44.0,2390.0,0.0,53.0,0.0,6,61,1,1
2,0,1,35.0,0,0.0,0.0,0.0,888.0,304.86,6,427,2,0
2,0,1,45.0,0,0.0,97.0,0.0,14.0,333.0,7,45,1,0
2,0,1,19.0,0,0.0,0.0,2078.0,0.0,0.0,6,63,1,1
2,0,1,21.0,0,0.0,918.0,0.0,0.0,0.0,6,54,2,1
2,1,2,29.0,0,0.0,0.0,0.0,0.0,0.0,7,46,1,1
2,0,1,22.0,0,146.0,654.0,1.0,0.0,2.0,6,64,1,1
1,1,1,14.0,0,0.0,0.0,0.0,0.0,0.0,5,16,1,1
1,1,3,42.0,0,0.0,0.0,0.0,0.0,0.0,5,16,1,1
2,0,3,57.0,0,3.0,1281.0,29.0,162.0,13.0,6,65,1,0
1,1,3,39.0,0,0.0,0.0,0.0,0.0,0.0,6,427,2,1
1,0,1,28.0,0,0.0,587.0,32.0,6.0,1460.0,2,12,1,0
2,0,3,19.0,0,0.0,0.0,0.0,0.0,828.0,6,55,2,0
1,1,3,19.0,0,0.0,0.0,0.0,0.0,0.0,3,12,2,1
1,0,3,26.0,0,0.0,4458.0,0.0,1157.0,262.0,2,7,2,1
1,1,1,17.0,0,0.0,0.0,0.0,0.0,0.0,2,7,2,1
1,0,1,43.0,0,0.0,0.0,0.0,0.0,0.0,2,7,2,1
1,0,3,9.0,0,0.0,0.0,0.0,0.0,0.0,2,7,2,1
1,0,1,40.0,0,0.0,6500.0,88.0,1090.0,0.0,4,10,2,1
1,1,1,50.0,0,0.0,0.0,0.0,311.14,0.0,2,8,2,1
2,0,1,24.0,0,90.0,2.0,1324.0,17.0,0.0,7,47,1,1
1,1,3,57.0,0,0.0,0.0,0.0,0.0,0.0,1,3,1,1
2,1,1,16.0,0,0.0,0.0,0.0,0.0,0.0,6,427,2,0
2,0,1,23.0,0,0.0,0.0,15.0,0.0,1370.0,6,67,1,0
2,1,1,23.0,0,0.0,0.0,0.0,0.0,0.0,7,41,2,1
1,0,1,28.0,0,0.0,422.0,0.0,1851.0,5166.0,5,18,2,0
1,0,3,23.0,0,0.0,584.0,0.0,20.0,2469.0,3,7,1,0
2,0,1,23.0,0,368.0,175.0,259.0,1.0,101.0,5,19,2,0
2,0,1,18.0,0,0.0,0.0,1359.0,0.0,0.0,6,59,2,1
2,0,1,18.0,0,1194.0,0.0,157.0,6.0,0.0,6,60,2,0
1,0,1,67.0,0,224.69,230.0,0.0,4476.0,241.0,6,427,2,0
2,0,2,60.0,0,7.0,540.0,1.0,0.0,4.0,6,68,1,1
2,1,3,28.82,0,0.0,0.0,174.73,0.0,0.0,7,50,1,1
2,0,3,49.0,0,331.0,0.0,0.0,318.0,0.0,6,68,1,1
2,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,7,50,1,1
2,0,3,26.0,0,386.0,0.0,74.0,0.0,1330.0,7,51,1,0
2,1,2,35.0,0,0.0,0.0,0.0,0.0,0.0,7,42,2,1
1,0,1,24.0,0,0.0,2628.0,174.73,170.0,0.0,2,9,2,1
1,1,1,20.0,0,0.0,0.0,0.0,0.0,304.86,2,9,2,1
2,0,1,18.0,0,0.0,2.0,0.0,311.14,0.0,7,44,2,0
2,0,1,21.0,0,0.0,5.0,3.0,0.0,304.86,7,44,2,0
2,0,1,59.0,1,1018.0,0.0,209.0,0.0,0.0,6,61,2,0
2,1,2,13.0,0,0.0,0.0,0.0,0.0,0.0,7,45,2,0
2,1,3,43.0,0,0.0,0.0,0.0,0.0,0.0,7,53,1,0
2,1,1,29.0,0,0.0,0.0,0.0,0.0,0.0,7,47,2,0
2,0,1,19.0,0,17.0,0.0,784.0,0.0,2.0,6,427,2,1
1,0,1,2.0,0,0.0,0.0,0.0,0.0,0.0,3,14,2,1
1,0,1,32.0,0,247.0,4651.0,0.0,46.0,202.0,3,14,2,1
1,0,1,33.0,0,443.0,317.0,0.0,148.0,1260.0,3,14,2,0
2,0,1,25.0,0,0.0,0.0,251.0,0.0,552.0,6,72,1,0
3,1,3,29.0,0,0.0,0.0,0.0,0.0,0.0,6,73,1,1
3,0,1,29.0,0,5715.0,2.0,211.0,1476.0,0.0,6,62,2,0
2,0,1,44.0,0,695.0,1.0,16.0,0.0,0.0,6,74,1,0
3,1,3,2.0,0,0.0,0.0,0.0,0.0,0.0,6,63,2,1
3,0,1,19.0,0,417.0,349.0,634.0,3.0,1057.0,6,63,2,1
3,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,6,63,2,1
2,1,1,18.0,0,0.0,0.0,174.73,0.0,0.0,7,48,2,1
1,1,3,38.0,0,0.0,0.0,0.0,0.0,0.0,2,10,2,1
2,1,2,5.0,0,0.0,0.0,0.0,0.0,0.0,7,57,1,0
2,0,2,31.0,0,121.0,0.0,0.0,274.0,907.0,6,76,1,0
3,1,1,30.0,0,0.0,0.0,0.0,0.0,0.0,5,21,2,0
2,1,3,15.0,0,0.0,0.0,0.0,0.0,0.0,7,59,1,1
3,0,1,27.0,0,434.0,0.0,1434.0,0.0,0.0,6,64,2,0
3,0,1,22.0,0,142.0,2876.0,202.0,3.0,0.0,4,12,1,1
3,0,1,36.0,0,520.0,0.0,1865.0,0.0,0.0,6,427,2,1
2,1,2,14.0,0,0.0,0.0,0.0,0.0,0.0,7,60,1,1
3,0,1,23.0,0,2001.0,0.0,2975.0,0.0,0.0,6,78,1,0
2,1,1,18.0,0,0.0,0.0,0.0,0.0,0.0,6,427,2,1
1,1,3,36.0,0,0.0,0.0,0.0,0.0,0.0,2,15,1,1
2,0,1,41.0,0,224.69,1198.0,0.0,124.0,572.0,6,65,2,0
2,1,1,50.0,0,0.0,0.0,0.0,0.0,0.0,7,50,2,1
2,1,2,32.0,0,0.0,0.0,0.0,0.0,0.0,7,50,2,1
2,0,2,26.0,0,148.0,0.0,453.0,0.0,88.0,6,66,2,0
2,0,1,15.0,0,358.0,212.0,33.0,0.0,112.0,6,67,2,0
2,0,3,33.0,0,0.0,36.0,0.0,280.0,417.0,6,68,2,1
2,0,3,28.82,0,0.0,0.0,0.0,685.0,21.0,7,51,2,0
3,0,1,26.0,0,2832.0,107.0,4447.0,15.0,4.0,6,82,1,0
3,1,1,61.0,0,0.0,0.0,0.0,0.0,0.0,6,82,1,1
2,0,1,24.0,0,0.0,0.0,592.0,177.0,58.0,7,53,2,1
2,0,1,30.0,0,0.0,95.0,0.0,441.0,1023.0,6,83,1,0
3,1,1,24.0,0,0.0,0.0,0.0,0.0,0.0,6,84,1,1
2,0,1,24.0,0,0.0,5.0,0.0,2766.0,0.0,6,85,1,0
2,1,1,41.0,0,0.0,0.0,0.0,0.0,0.0,7,62,1,0
2,0,1,20.0,0,0.0,0.0,558.0,0.0,230.0,5,22,1,0
2,0,1,22.0,0,116.0,0.0,786.0,6.0,0.0,7,54,2,1
1,0,3,63.0,0,0.0,1068.0,0.0,176.0,8188.0,3,15,2,0
1,0,3,18.0,0,17.0,215.0,4.0,5132.0,697.0,2,11,2,0
1,1,3,21.0,0,0.0,0.0,0.0,0.0,0.0,2,11,2,1
1,0,1,79.0,0,5649.0,235.0,7.0,2579.0,2175.0,2,11,2,0
1,1,1,56.0,0,0.0,0.0,0.0,0.0,0.0,2,11,2,1
1,1,1,13.0,0,0.0,0.0,0.0,0.0,0.0,2,11,2,1
1,0,1,33.0,0,0.0,2491.0,6.0,1173.0,1059.0,2,11,2,0
